,유형,component,name,description,parameter,return,exception,sample,built since,built last
980,method,WebSquare.uiplugin.dataList,getUpdatedArray,"갱신 상태(1,U)인 행들의 데이터의 정보는 JSON으로 반환한다.<br />반환값의 columnInfo는 컬럼의 id가 담긴 배열을, data는 columnInfo에 명시된 컬럼의 순서대로 해당하는 데이터를 담은 배열이다.",,"JSON	갱신 상태인 행들의 정보가 담긴 JSON 데이터<br />
<xmp class='js description'><Array> columnInfo : 컬럼의 ID가 담긴 배열.
<Array> data : columnInfo에 담긴 ID 순서대로 cell의 데이터가 담긴 1차원 배열.</xmp>",,"<xmp  class='js sample'>//dept와 name이 정의 된 DataList의 경우

//갱신 상태(U)의 데이터 반환 (총2건)  
var rsData = dataList1.getUpdatedArray());
//return 예시 )
{
    ""columnInfo"":[""dept"",""name""]
    ,""data"":[""인사"",""수정"",""홍보"",""수정2""]
}</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
981,method,WebSquare.uiplugin.dataList,getUpdatedData,"갱신 상태(1,U)인 행들의 배열 데이터를 배열에 담아 반환한다.",,"Array	갱신 상태(1,U)인 행들의 배열 데이터 (2차원 배열)",,"<xmp  class='js sample'>//dept와 name이 정의 된 DataList의 경우

//갱신 상태(U)의 데이터 반환 (총2건)  
var rsData = dataList1.getUpdatedData();
//return 예시 ) [[""인사"",""수정""],[""홍보"",""수정2""]]</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
982,method,WebSquare.uiplugin.dataList,getUpdatedIndex,"갱신 상태(1,U)인 행의 index를 배열로 반환한다.",,"Array	갱신 상태(1,U)인 행의 index를 담은 배열",,"<xmp  class='js sample'>//갱신 상태(U)의 index 반환 (총2건)
var rsData = dataList1.getUpdatedIndex();
//return 예시 ) [3,4]</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
983,method,WebSquare.uiplugin.dataList,getUpdatedJSON,"갱신 상태(1,U)인 행들의 데이터를 JSON으로 변환하여 배열에 담아 반환한다.",,"Array	갱신 상태(1,U)인 행들의 JSON 데이터가 담긴 배열",,"<xmp  class='js sample'>var rsData = dataList1.getUpdatedJSON();
//return 예시 ) 
[
    {""dept"":""인사"",""name"":""수정"",""rowStatus"":""U""}
    ,{""dept"":""홍보"",""name"":""수정2"",""rowStatus"":""U""}
]</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
984,method,WebSquare.uiplugin.dataList,getUpdatedXML,"갱신 상태(1,U)인 행들의 데이터를 XML로 반환한다.",,"XML	갱신 상태(1,U)인 행들의 XML 데이터",,"<xmp  class='js sample'>//dept와 name이 컬럼이 정의 된 dataList의 경우

var rsData = dataList1.getUpdatedXML()
//return 예시 )
<list id=""dataList1"">
    <map index=""3"">
        <dept>인사</dept>
        <name>수정</name>
        <rowStatus statusValue=""1"">U</rowStatus>
    </map>
    <map index=""4"">
        <dept>홍보</dept>
        <name>수정2</name>
        <rowStatus statusValue=""1"">U</rowStatus>
    </map>
</list></xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
985,method,WebSquare.uiplugin.dataList,getVoidArray,"삽입 후 삭제 상태(4,V)인 행들의 정보가 담긴 JSON을 반환한다.",,"JSON	삽입 후 삭제 상태(4,V)인 행들의 정보가 담긴 JSON<br />
<xmp class='js description'><Array> columnInfo : 컬럼의 ID가 담긴 배열.
<Array> data : columnInfo에 담긴 ID 순서대로 cell의 데이터가 담긴 1차원 배열.</xmp>",,"<xmp  class='js sample'>var returnJsonArr = dataList1.getVoidArray();
//return 예시 )
{
    ""columnInfo"":[""dept"",""name""]
    ,""data"":["""",""""]
}</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
986,method,WebSquare.uiplugin.dataList,getVoidData,"삽입 후 삭제 상태(4,V)인 행들을 배열 데이터를 배열에 담에 반환한다.",,Array	삽입 후 삭제 상태인 행들의 배열 데이터가 담긴 배열 (2차원 배열),,"<xmp  class='js sample'>var  raData = dataList1.getVoidData();
//return 예시 - 총 2건 ) [ [""0"","""",""""],[""0"","""",""""] ]</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
987,method,WebSquare.uiplugin.dataList,getVoidIndex,"삽입 후 삭제 상태(4,V)인 행의 index를 배열로 반환한다.",,"Array	삽입 후 삭제 상태(4,V)인 행의 index를 담은 배열",,"<xmp  class='js sample'>var returnArr = dataList1.getVoidIndex();
//return 예시 - 총 2건 ) [0,1]</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
988,method,WebSquare.uiplugin.dataList,getVoidJSON,"삽입 후 삭제 상태(4,V)인 행들의 JSON 데이터를 배열에 담아 반환한다.",,"Array	삽입 후 삭제 상태(4,V)인 행들의 JSON 데이터가 담긴 배열",,"<xmp  class='js sample'>var returnJsonStr = dataList1.getVoidJSON();
//return 예시 - 총 2건 )
[
    {""dept"":"""",""name"":"""",""rowStatus"":""V""}
    ,{""dept"":"""",""name"":"""",""rowStatus"":""V""}
]</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
989,method,WebSquare.uiplugin.dataList,getVoidXML,"삽입후 삭제 상태(4,V)인 행들의 데이터를 XML로 반환한다.",,"XML	삽입 후 삭제 상태(4,V)인 행들의 XML 데이터",,"<xmp  class='js sample'>var returnXMLStr = dataList1.getVoidXML();
//return 예시 - 총 2건 )
<list id=""dataList1"">
    <map index=""0"">
        <dept></dept>
        <name></name>
        <rowStatus statusValue=""4"">V</rowStatus>
    </map>
    <map index=""1"">
        <dept></dept>
        <name></name>
        <rowStatus statusValue=""4"">V</rowStatus>
    </map>
</list></xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
990,method,WebSquare.uiplugin.dataList,initRowStatus,"dataList의 상태를 모두 ""R""로 변경한다. modifyAllStatus(""R"")과 비교시 onrowstatuschange이벤트를 발생하지 않는점을 제외하고 동작이 같다.",,	,,"dataList1.initRowStatus(); // dataList의 상태가 모두 ""R""로 변경된다. onrowstatuschange 이벤트는 발생하지 않는다.",5.0_2.2964B.20180202.163500,5.0_5.4811B.20230203.095105
991,method,WebSquare.uiplugin.dataList,insertData,rowIndex에 다건의 row를 1차원 Array로 삽입한다. 삽입 후 DataList의 oninsertrow 이벤트가 발생된다.,"rowIndex	Number	Y	row의 index
dataObj	Array	Y	데이터를 담고 있는 1차원 Array",	,,"<xmp  class='js sample'>//DataList에 name, birthday id를 가진 컬럼이 정의 된 경우

//0번째 index에 2건의 row을 삽입.
dataList1.insertData( 0, [""아이유"", ""19930516"" ,""정형돈"" ,""19780207""] );</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
992,method,WebSquare.uiplugin.dataList,insertJSON,rowIndex에 다건의 row를 JSON객체로 삽입한다. 삽입 후 DataList의 oninsertrow 이벤트가 발생된다.,"rowIndex	Number	Y	row의 index
dataObj	Array	Y	row에 해당하는 JSON객체는 담고 있는 1차원 array",	,,"<xmp  class='js sample'>//DataList에 name, birthday id를 가진 컬럼이 정의 된 경우

//dataList에 insert 할 데이터 정의
var tmpData = [{""name"":""아이유"",""birthday"":""19930516""},{""name"":""정형돈"",""birthday"":""19780207""}];

//0번째 index에 2건의 row을 삽입.
dataList1.insertJSON( 0, tmpData );</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
993,method,WebSquare.uiplugin.dataList,insertRow,rowIndex에 1건의 row는 삽입한다. 삽입 된 후 DataList의 oninsertrow 이벤트가 발생한다.,rowIndex	Number	Y	삽입할 행의 index,	,,"<xmp  class='js sample'>// 첫번째 행에 새로운 행을 삽입한다.
dataList1.insertRow(0);</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
994,method,WebSquare.uiplugin.dataList,insertXML,rowIndex에 다건의 row를 XML 데이터로 삽입한다. 삽입 후 DataList의 oninsertrow 이벤트가 발생된다.,"rowIndex	Number	Y	row의 index
dataObj	XML	Y	데이터를 담고 있는 XML",	,,"<xmp  class='js sample'>//DataList에 name, birthday id를 가진 컬럼이 정의 된 경우

//XML String
var xmlStr = ""<list><map><name>아이유</name><birthday>19930516</birthday></map></list>"";
//XML 데이터 생성
var dataObj = WebSquare.xml.parse(xmlStr);

//0번째 index에 1건의 row을 삽입.
insertXML(0, dataObj)</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
995,method,WebSquare.uiplugin.dataList,keepRowPosition,JSON Data를 append할 때 이전에 설정된 rowPosition값을 유지할지 여부,,	,,,5.0_1.2722A.20170731.103905,5.0_5.4811B.20230203.095105
996,method,WebSquare.uiplugin.dataList,modifyAllStatus,모든 행의 상태를 변경합니다.,"status	String	Y	변경할 상태값 (초기상태:""R"", 갱신:""U"", 삽입:""C"", 삭제:""D"", 삽입 후 삭제:""V""). status값 변경으로 데이터를 조작할 수 없는 것이 원칙이므로 ""E""는 인자값으로 사용할 수 없음.",	,,dataList1.modifyAllStatus('D'); // 모든 행을 삭제 상태로 변경한다.,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
997,method,WebSquare.uiplugin.dataList,modifyMatchedStatus,col에 해당하는 컬럼의 데이터와 dataValue의 값이 일치된 행의 상태를 변경한다.,"col	Number||String	Y	검사할 컬럼의 index 또는 id
dataValue	String	Y	비교값
status	String	Y	변경할 상태값. status값 변경으로 데이터를 조작할 수 없는 것이 원칙이므로 ""E""는 인자값으로 사용할 수 없음.",	,,"<xmp  class='js sample'>// dept 컬럼의 데이터가 'IT'인 행들의 상태를 갱신 상태(U)로 변경한다.
dataList1.modifyMatchedStatus('dept', 'IT', 'U');</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
998,method,WebSquare.uiplugin.dataList,modifyRangeStatus,from부터 to까지의 범위의 행들의 상태를 변경 한다.,"from	Number	Y	변경할 범위의 시작 행의 index
to	Number	Y	변경할 범위의  끝의 index
status	String	Y	변경할 상태값 (초기상태:""R"", 갱신:""U"", 삽입:""C"", 삭제:""D"", 삽입 후 삭제:""V""). status값 변경으로 데이터를 조작할 수 없는 것이 원칙이므로 ""E""는 인자값으로 사용할 수 없음.",	,,"dataList1.modifyRangeStatus(1 , 3, 'D'); // 두번째, 세번째 행을 삭제 상태로 변경한다.",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
999,method,WebSquare.uiplugin.dataList,modifyRowStatus,rowIndex에 해당하는 행의 상태를 변경한다.,"rowIndex	Number	Y	상태를 변경할 행의 index
status	String	Y	변경할 상태값. status값 변경으로 데이터를 조작할 수 없는 것이 원칙이므로 ""E""는 인자값으로 사용할 수 없음.",	,,"dataList1.modifyRowStatus(0, 'D'); // 첫번째 행을 삭제 상태로 변경한다.",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1000,method,WebSquare.uiplugin.dataList,multisort,option에 따라서 여러개의 컬럼을 정렬한다.<br />컬럼의 dataType 속성을 기준으로 정렬되므로 숫자형태인 경우 dataType속성을 number로 정의해야한다.,"options	JSON	Y	정렬에 대한 옵션을 가지고 있는 JSON<br />
<xmp class='js description'><String:Y> options.sortIndex : 정렬해 줄 컬럼의 id 혹은 index. 여러 열을 나열시에 빈칸(space)을 구분자로 한다.
<String:Y> options.sortOrder : 정렬방법 (1:오름차순 -1:내림차순). 여러 열에 대한 정렬방법을 나열시에 빈칸(space)을 구분자로 한다.</xmp>",	,,"<xmp  class='js sample'>//name 컬럼을 내림차순으로 첫번째 정렬 후 dept 컬럼을 오름차순으로 정렬
var options = {};
options.sortIndex = ""name dept"";
options.sortOrder = ""-1 1"";

dataList1.multisort( options );</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1001,method,WebSquare.uiplugin.dataList,redo,가장 최근의 변경 사항을 이전 단계로 되돌립니다.,,	,,"<xmp  class='js sample'>// 데이터를 변경된 시점 최근 한단계로 되돌린다.
dataList1.redo();</xmp>",5.0_1.3356B.20181116.131540,5.0_5.4811B.20230203.095105
1002,method,WebSquare.uiplugin.dataList,reform,DataList의 originalData를 현재의 데이터로 바꿔주고 모든 행의 상태를 초기화(R)한다.,,	,,"dataList1.reform(); // 모든 행의 상태가 초기상태 (0, R)로 변경된다.",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1003,method,WebSquare.uiplugin.dataList,removeAll,"DataList의 모든 데이터를 삭제하고, 삭제된 데이터를 1차원 배열로 반환합니다.",,Array	삭제한 행들의 데이터가 담긴 1차원 배열,,"<xmp  class='js sample'>//이름과 부서가 정의 된 DataList의 경우

var returnArr = dataList1.removeAll();
//return 예시 - 총 5건 삭제 )[""인사"", ""손예진"", ""홍보"", ""송강호"", ""IT"", ""전지현"", ""인사"", ""류승룡"", ""홍보"", ""이광수""]</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1004,method,WebSquare.uiplugin.dataList,removeColumnFilter,"col에 해당하는 컬럼에 적용된 filter를 삭제한다.<br />주의 - 여러 컬럼에 setColumnFilter를 사용한 경우, 해제되지 않는 filter의 operationType(AND, OR 조건)에 따른 결과를 유의하여야 한다.",col	Number||String	Y	filter를 삭제할 컬럼의 index 또는 id,	,,dataList1.removeColumnFilter( 'dept' ); // dept 컬럼에 적용된 필터링을 해제한다.,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1005,method,WebSquare.uiplugin.dataList,removeColumnFilterAll,모든 컬럼에 적용된 filter를 삭제한다.,,	,,dataList1.removeColumnFilterAll(); // 전체 필터링을 해제한다.,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1006,method,WebSquare.uiplugin.dataList,removeRange,"""startIdx와 endIdx 사이의 행을 삭제하고, 남은 데이터를 1차원 배열로 반환합니다.""","startIdx	Number	Y	데이터를 삭제할 범위의 시작 행
endIdx	Number	Y	데이터를 삭제할 범위의 끝 행",Array	삭제된 범위 사이의 데이터 2차원 배열,,"<xmp  class='js sample'>//부서와 이름 컬럼이 정의 된 DataList의 경우

//1번째와 2번째 row 삭제 
var returnArr = dataList1.removeRange(0, 1);
//return 예시 ) [[""IT"",""전지현""],[""홍보"",""송강호""]]</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1007,method,WebSquare.uiplugin.dataList,removeRow,rowIndex에 해당하는 행을 삭제하고 가지고 있던 data를 1차원 배열로 반환한다.,rowIndex	Number	Y	삭제할 행의 index,Array	삭제한 행이 가지고 있던 data 배열,,"<xmp  class='js sample'>// 첫 번째 행을 삭제한다.
var returnArr = dataList1.removeRow(0);
//return 예시 ) [""IT"",""전지현""]</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1008,method,WebSquare.uiplugin.dataList,removeRows,다건의 row를 index가 담긴 배열을 통해 한번에 삭제하고 가지고 있던 data를 2차원 배열로 반환한다.,rowIndexArr	Array	Y	삭제할 행들의 번호를 저장하는 배열,Array	삭제한 행들이 가지고 있던 2차원 배열 data,,"<xmp  class='js sample'>//부서와 이름이 정의 된 dataList의 경우

//4번째와 5번째의 row를 삭제한다.
var rsData = dataList1.removeRows([3,4])
//return 예시 ) [[""홍보"",""이광수""],[""인사"",""류승룡""]]</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1009,method,WebSquare.uiplugin.dataList,restore,데이터를 이전 한단계로 되돌린다.,,	,,"<xmp  class='js sample'>// 데이터 변경 시점을 이전단계로 되돌린다.
dataList1.restore();</xmp>",5.0_1.3356B.20181116.131540,5.0_5.4811B.20230203.095105
1010,method,WebSquare.uiplugin.dataList,rowMoveDown,rowIndex에 해당하는 row을 하나 아래로 내려준다. dataList가 drillDown grid에 바인된 경우 비권장.,rowIndex	Number	Y	row의 index,	,,"<xmp  class='js sample'>//두 번째 row를 한 칸 아래로 이동 ( 두번째 row와 세번째 row의 위치가 바뀜 )
dataList1.rowMoveDown(1);</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1011,method,WebSquare.uiplugin.dataList,rowMoveUp,"rowIndex에 해당하는 행을 하나 위로 이동합니다. 만약, dataList가 drillDown grid에 연결되어 있는 경우, 사용을 권장하지 않습니다.",rowIndex	Number	Y	row의 index,	,,"<xmp  class='js sample'>//두 번째 row를 한 칸 위로 이동 ( 첫번째 row와 두번째 row의 위치가 바뀜 )
dataList1.rowMoveUp(1);</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1012,method,WebSquare.uiplugin.dataList,setArray,"1차원 배열의 데이터를 columnInfo의 컬럼 순서대로 DataList에 set한다.(행의 상태는 초기상태인 ""R""로 변경된다.)","jsonData	JSON	Y	컬럼 정보와 1차원 배열 데이터를 담고 있는 JSON<br />
<xmp class='js description'><Array:Y>   columnInfo : 데이터를 셋팅할 컬럼의 순서
<Array:Y>   data : columnInfo에 따른 컬럼의 데이터로 전체 데이터를 1차원 배열에 담는다</xmp>
append	String	N	[default:false, true]append 여부",	,,"<xmp  class='js sample'>//DataList에 name, dept, phone의 순서대로 컬럼이 정의 된 경우

//dataList에 총 3건(row)의 데이터를 name과 dept의 컬럼에만 data를 기존 데이터를 삭제하고 set. 
var tmpColInfoArr = [""dept"",""name""];
var tmpDataArr = [""IT"",""손예진"",""홍보"",""이광수"",""인사"",""전지현""]; //data의 순서를 tmpColInfoArr의 컬럼 순서로 맞춘다
dataList1.setArray( {""columnInfo"":tmpColInfoArr, ""data"":tmpDataArr} );</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1013,method,WebSquare.uiplugin.dataList,setBroadcast,dataList 변경시 binding된 컴포넌트에 변경 여부를 알려줄지를 설정,"flag	Boolean	Y	[true, false]설정 여부
refresh	Boolean	Y	[true, false]refresh 여부",	,,"<xmp  class='js sample'> dataList1.setBroadcast(false);         // broadcast flag를 false로 설정한다. false로 설정된 이후에는 dataList가 변경되더라도 binding된 컴포넌트들이 갱신되지 않는다.
 dataList1.setBroadcast(true);          // true로 설정되면 dataList가 변경될 때 binding된 컴포넌트들이 갱신된다. 단 refresh 인자를 true로 설정하지 않을 경우 즉시 컴포넌트들을 갱신하지는 않는다. 
 dataList1.setBroadcast(true, true);    // dataList와 binding된 컴포넌트들을 즉시 갱신함과 동시에 broadcast flag를 true로 설정한다.</xmp>",5.0_2.3346B.20181109.170706,5.0_5.4811B.20230203.095105
1014,method,WebSquare.uiplugin.dataList,setCellAllData,필터링 되지 않은 rowIndex를 기준으로 setCellData를 실행한다. 그 후 필터 상태를 갱신한다.,"realRowIndex	Number	Y	필터링되지 않은 기준의 rowIndex
colIndex	Number||String	Y	컬럼 index 또는 id
data	String	Y	셀에 넣어줄 데이터",	,,"<xmp  class='js sample'>// 1,2번 행이 filtering되어 감춰진 경우
dataList1.setCellData(3,""name"", ""100""); // dataList에서 5번째 행, name열에 100이라는 값을 설정한다. 
dataList1.setCellAllData(3, ""name"", ""100""); // dataList에서 3번째 행, name열에 100이라는 값을 설정한다. 그 후 필터 상태를 갱신하여 UI를 다시 그린다.</xmp>",5.0_1.3015A.20180410.143527,5.0_5.4811B.20230203.095105
1015,method,WebSquare.uiplugin.dataList,setCellData,rowIndex와 colIndex에 해당하는 셀에 data를 셋팅한다.,"rowIndex	Number	Y	행 index
colIndex	Number||String	Y	컬럼 index 또는 id
data	String	Y	셀에 넣어줄 데이터",	,,"<xmp  class='js sample'>//1번째 row의 name 컬럼에 값을 셋팅
dataList1.setCellData(0, ""name"", ""전지현"");</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1016,method,WebSquare.uiplugin.dataList,setColumnDefaultValue,colIndex에 해당하는 열의 기본값을 defaultValue로 설정한다.<br />insertRow API 또는 초기 data를 set할 때 컬럼에 값이 할당되지 않을 때 dafaultValue의 값을 할당한다.,"colIndex	Number||String	Y	열의 index 또는 id
defaultValue	String	Y	열에 설정할 기본값",	,,"<xmp  class='js sample'>//name 컬럼의 기본값을 ""필수입력""으로 설정.
dataList1.setColumnDefaultValue('name', '필수입력');

//위와 같이 API를 호출 한 뒤 아래와 같이 insertRow API를 호출하면 name의 컬럼에 ""필수입력""의 값이 설정된다.
dataList1.insertRow(0);</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1017,method,WebSquare.uiplugin.dataList,setColumnFilter,colIndex에 해당하는 컬럼에 필터링 적용.,"filterOptions	JSON	Y	필터링 옵션. <br />
<xmp class='js description'><String:Y> filterOptions.type :[row, func, regExp] 필터 타입. (""row"": 데이터를 기준으로 indexOf로 검색. ""regExp"":  정규표현식. ""func"": 사용자 정의 함수.)
<String:Y> filterOptions.colIndex : 필터를 적용할 컬럼의 인덱스 혹은 ID.
<String:Y> filterOptions.key : 필터의 적용 Data로 type에 정의 한 값에 따라 달라짐. (""row"": 비교할 string 값. ""regExp"":  regExp 객체. ""func"": 사용자 정의 함수.)
<String:Y> filterOptions.condition :[and, or] 이전 필터 데이터와의 병합 조건. 초기에는 ""and""로 정의를 해야함.
<Boolean:N> filterOptions.exactMatch :[true, false] row filter에서 equal 조건 검색 수행. (""true"": equal 조건 검색. ""false"" (기본 값): like 조건 검색.)
<Object:Y> filterOptions.param : key의 값이 ""func""일 때 함수로 넘길 파라미터.</xmp>",	,,"<xmp  class='js sample'>// (필터 적용 예시 - dataList와 gridView가 연동된 경우)
   
// (1) type : ""row"" (key로 넘어온 문자열에 대해 indexOf를 이용하여 필터를 적용.) 

        // (예제) GridView의 dept 컬럼의 값이 ""IT""를 포함된 행만 표시. (like 검색)

                dataList1.setColumnFilter( 
                        {type:'row', colIndex:'dept', key:""IT"", condition:'and'}
                    );

        // (예제) GridView의 dept 컬럼의 값이 ""IT""인 데이터만 표시. (equal 검색)

                dataList1.setColumnFilter( 
                        {type:'row', colIndex:'dept', key:""IT"", condition:'and', exactMatch:true}
                    );

        // (예제) dept 컬럼의 값이 ""IT"" 혹은 ""홍보""인 데이터만 표시.  (condition을 or로 변경.)
                dataList1.setColumnFilter( 
                        {type:'row', colIndex:'dept', key:""홍보"", condition:'or'}
                    );

//위의 방법은 효율이 좋지 않으므로 아래와 같이 사용자정의 필터 또는 정규표현식을 이용하여 한번에 적용할 것을 권장.

// (2) type : ""func"" (개발자가 직접 데이터의 필터를 적용.)

        // (예제) 사용자 정의 필터 - cellData가 ""IT""와 ""인사""를 적용
        // cellData는 웹스퀘어 엔진에서 넘겨주는 cell의 데이터로 colIndex에 설정한 컬럼의 데이터.
        // tmpParam은 setColumnFilter API를 호출 할 때 파라메터로 넘겨주는 param의 값.
        // rowIdx는 웹스퀘어 엔진에서 넘겨주는 row의 index 값.

            var fn_tmpDeptFilter = function(cellData, tmpParam, rowIdx){
                if(cellData.indexOf(""IT"") > -1){
                    return true;
                }else if(cellData.indexOf(""인사"") > -1){
                    return true;
                }
                return false;   //return이 true인 경우 적용하고 false인 경우 skip한다.
            }   

        // (예제) dept컬럼의 데이터가 ""IT""이거나 ""인사""인 데이터만 표시.
        // function에 별도의 parameter는 추가하지 않음.

            dataList1.setColumnFilter( 
                {type:'func', colIndex:'dept', key:fn_tmpDeptFilter, condition:'and'}
            );
 
// (3) type : ""regExp"" (정규 표현식을 이용하여 필터를 적용.) 

        // (예제) dept 컬럼의 값이 ""IT"" 혹은 ""홍보""인 데이터만 표시.

                dataList1.setColumnFilter( 
                    {type:'regExp', colIndex:'dept', key:/IT|홍보/gi, condition:'and'}
                );
</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1018,method,WebSquare.uiplugin.dataList,setData,"1차원 배열 데이터를 set 또는 append 한다. (행의 상태는 초기상태인 ""R""로 변경된다. 데이터의 순서를 지정해주는 columnArr를 사용할 경우, append는 항상 넣어줘야한다.)","arr	Array||String	Y	1차원 배열 또는 배열 형태의 문자열(소스 안쪽에서 array로 변환)
append	Boolean	N	[default:false, true]append 여부
columnArr	Array||String	N	데이터를 셋팅할 컬럼의 id가 담긴 배열 또는 배열 형태의 문자열(소스 안쪽에서 array로 변환)
rowStatus	Array	N	셋팅할 데이터의 rowStatus들을 담은 1차원 배열",	,,"<xmp  class='js sample'>//DataList에 name, dept 컬럼이 정의 된 경우

//2건(row)의 데이터 set.
dataList1.setData([""송지효"",""홍보"",""김상중"",""준법감시""]);
 
//2건(row)의 데이터 중 name 컬럼의 데이터를 set하고 name을 제외한 나머지 컬럼은 빈 값("""")을 set.
dataList1.setData([""송지효"",""김상중""],false,[""name""]);
 
//2건(row)의 데이터 중 name 컬럼의 데이터만 set하고 2건의 rowStatus를 변경.
dataList1.setData([""송지효"",""김상중""],false,[""name""],[""U"", ""D""]);

//server에서 배열 형태의 문자열을 받은 경우 (java에서 db의 값을 꺼내 값과 값을 ""%||%""로 append하여 생성한다)  
var tmpStr = ""송지효%||%홍보%||%김상중%||%준법감시"";
var tmpArr = tmpStr.split(""%||%"");
dataList1.setData(tmpArr);

//server에서 배열 형태의 문자열을 받은 경우 다음과 같은 형태일 때 문자열을 배열로 자동변환해준다.
var tmpStr = ""[\""송지효\"",\""홍보\"",\""김상중\"",\""준법감시\""]"";
dataList1.setData(tmpStr);</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1019,method,WebSquare.uiplugin.dataList,setIgnoreStatus,dataList의 column에서 ignoreStatus 속성을 동적으로 제어합니다. 만약 ignoreStatus가 true인 경우 해당 column의 값을 변경하더라도 status가 변하지 않습니다.,"flag	Boolean	Y	[true, false]설정 여부",	,,"<xmp  class='js sample'> dataList1.setIgnoreStatus(""col1"", true); // API 실행 이후 col1 컬럼값이 변경되어도 status 상태가 변경되지 않음.
 dataList1.setIgnoreStatus(""col1"", false); // API 실행 이후 col1 컬럼값이 변경되면 status 상태가 변경됨.
 dataList1.setIgnoreStatus(""col1""); // 무효. 아무런 동작을 하지 않음.</xmp>",5.0_5.4811B.20230203.095105,5.0_5.4811B.20230203.095105
1020,method,WebSquare.uiplugin.dataList,setJSON,"JSON Data를 설정(set)하거나 추가(append). (행의 상태는 초기상태인 ""R""로 변경됨.)","jsonData	Array	Y	JSON 데이터를 담고 있는 배열
append	String	N	추가(append) 여부.<br />
<xmp class='js description'>""false"" (기본 값) : DataList의 데이터를 주어진 데이터로 새로 설정(set).
""true"" : 기존 DataList의 데이터에 추가(append).</xmp>",	,,"<xmp  class='js sample'>//JSON 형태의 2건의 list data를 set.
var tmpArr = [{""name"":""손예진"",""dept"":""인사""},{""name"":""전지현"",""dept"":""IT""}];
dataList1.setJSON( tmpArr );</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
1021,method,WebSquare.uiplugin.dataList,setMatchIgnoreCase,"getMatched류 (getMatchedJSON, getMatchedIndex 등)의 API 호출 시 대소문자를 구별하지 않을지 (true) 구별할지(false)를 설정하는 함수","flag	Boolean	Y	대소문자 구별 : false , 대소문자 무시 : true",	,,"<xmp  class='js sample'>dataList1.setMatchIgnoreCase(true);
dataList1.getMatchedIndex(""ab"");
// 실행결과 :  dataList1의 data중 ab 또는 Ab 또는 aB 또는 AB가 포함된 데이터들의 index를 반환한다.</xmp>",5.0_2.2692B.20170707.165017,5.0_5.4811B.20230203.095105
